married,dependents,education,self_employed,applicantincome,coapplicantincome,loan_amount_term,credit_history,property_area,loanamount,prediction
Yes,0,Not Graduate,Yes,4695,0.0,,1.0,Urban,4.574710978503383,4.524209732450213
No,0,Graduate,No,3676,4301.0,360.0,1.0,Rural,5.153291594497779,4.955158851369648
No,1,Graduate,Yes,7451,0.0,360.0,1.0,Semiurban,4.709530201312334,4.970775228555486
No,0,Graduate,No,6000,0.0,360.0,1.0,Rural,4.948759890378168,4.810342841757341
Yes,3+,Graduate,No,3430,1250.0,360.0,0.0,Semiurban,4.859812404361672,5.053356318720134
Yes,2,Graduate,No,3800,3600.0,360.0,0.0,Urban,5.37989735354046,5.046110671728929
Yes,0,Graduate,No,2400,2167.0,360.0,1.0,Semiurban,4.7535901911063645,4.761663307160754
Yes,2,Graduate,No,8000,0.0,360.0,1.0,Semiurban,5.303304908059076,4.942553133674927
Yes,3+,Not Graduate,Yes,3333,2166.0,360.0,nan,Semiurban,4.875197323201151,5.083675884996724
Yes,0,Not Graduate,No,1928,1644.0,360.0,1.0,Semiurban,4.61512051684126,4.605934285890925
Yes,1,Graduate,No,3988,0.0,240.0,1.0,Urban,3.9318256327243257,4.586216825605267
Yes,2,Graduate,No,4006,1526.0,360.0,1.0,Urban,5.1298987149230735,4.965298146961023
No,1,Graduate,Yes,4692,0.0,360.0,1.0,Rural,4.672828834461906,4.790783062734353
Yes,0,Graduate,No,1759,3541.0,360.0,1.0,Semiurban,4.882801922586371,4.64206981774265
Yes,3+,Not Graduate,No,2071,754.0,480.0,1.0,Semiurban,4.553876891600541,4.803452078731747
Yes,0,Graduate,No,4583,0.0,360.0,1.0,Rural,4.442651256490317,4.748400040264801
No,1,Graduate,No,4384,1793.0,360.0,1.0,Urban,4.770684624465665,5.010522963327643
No,0,Graduate,No,2971,2791.0,360.0,1.0,Semiurban,4.976733742420574,4.8092614531461555
No,0,Not Graduate,No,1442,0.0,360.0,1.0,Urban,3.58351893845611,4.103395356379775
Yes,0,Graduate,No,3704,2000.0,360.0,1.0,Rural,4.795790545596741,4.985467510726128
Yes,1,Not Graduate,No,5285,1430.0,360.0,0.0,Semiurban,5.087596335232384,5.153916303216029
Yes,2,Graduate,No,2708,1167.0,360.0,1.0,Semiurban,4.584967478670572,4.760528417901752
Yes,1,Graduate,No,6000,0.0,360.0,nan,Rural,5.081404364984463,4.9667689747213455
Yes,3+,Graduate,No,6417,0.0,180.0,1.0,Rural,5.062595033026967,4.818724546794885
Yes,2,Graduate,Yes,6633,0.0,360.0,0.0,Rural,4.709530201312334,5.018044570000136
No,0,Graduate,No,2917,0.0,360.0,1.0,Semiurban,4.442651256490317,4.452475748367048
Yes,0,Graduate,No,2645,3440.0,360.0,0.0,Urban,4.795790545596741,4.908318523310888
Yes,0,Graduate,No,6000,2250.0,360.0,nan,Semiurban,5.583496308781699,5.24676743756568
No,0,Not Graduate,,2550,2042.0,360.0,1.0,Rural,4.844187086458591,4.838867942383519
Yes,0,Graduate,No,3500,1667.0,360.0,1.0,Semiurban,4.74493212836325,4.9215659024901255
Yes,0,Graduate,No,2275,2067.0,360.0,1.0,Urban,4.709530201312334,4.750373929801564
No,0,Graduate,No,2935,0.0,360.0,1.0,Semiurban,4.59511985013459,4.455270699751929
Yes,1,Graduate,No,4945,0.0,360.0,0.0,Rural,4.709530201312334,4.878894965991142
Yes,0,Not Graduate,No,2253,2033.0,360.0,1.0,Rural,4.709530201312334,4.716190234918707
Yes,2,Graduate,No,4566,0.0,360.0,1.0,Urban,4.61512051684126,4.702800840453748
Yes,1,Not Graduate,No,2239,2524.0,360.0,1.0,Urban,4.859812404361672,4.736597189284425
Yes,2,Not Graduate,No,3601,1590.0,360.0,1.0,Rural,4.709530201312334,4.889632658532775
Yes,2,Graduate,Yes,9323,7873.0,300.0,1.0,Rural,5.942799375126701,5.443236750203331
Yes,2,Graduate,No,3340,1710.0,360.0,0.0,Rural,5.017279836814924,4.969889065715414
Yes,1,Graduate,No,3155,1779.0,360.0,1.0,Semiurban,4.948759890378168,4.906096281087173
Yes,0,Not Graduate,No,6096,0.0,360.0,0.0,Rural,5.389071729816501,4.9010302920891675
Yes,3+,Graduate,No,4106,0.0,180.0,1.0,Rural,3.713572066704308,4.615834553139228
Yes,3+,Not Graduate,No,3173,0.0,360.0,1.0,Semiurban,4.31748811353631,4.593525455200331
No,0,Graduate,No,3410,0.0,,1.0,Urban,4.48863636973214,4.2992051554018005
Yes,0,Graduate,No,14880,0.0,360.0,1.0,Semiurban,4.574710978503383,5.253398377209997
Yes,1,Graduate,No,1625,1803.0,360.0,1.0,Urban,4.574710978503383,4.620359610888113
Yes,1,Graduate,No,4608,2845.0,180.0,1.0,Semiurban,4.948759890378168,4.929717335444743
Yes,3+,Graduate,No,5516,11300.0,360.0,0.0,Semiurban,6.206575926724928,5.365887268641917
Yes,2,Graduate,No,4283,2383.0,360.0,nan,Semiurban,4.852030263919617,5.067281536970495
No,2,Graduate,No,3588,0.0,360.0,0.0,Rural,4.709530201312334,4.615009298659228
Yes,1,Graduate,No,6875,0.0,360.0,1.0,Semiurban,5.303304908059076,4.931337702408056
Yes,1,Graduate,No,5955,5625.0,360.0,1.0,Urban,5.755742213586912,5.260361143586655
Yes,1,Graduate,No,2882,1843.0,480.0,1.0,Semiurban,4.820281565605037,4.979265582957197
Yes,0,Not Graduate,,2894,2792.0,360.0,1.0,Rural,5.049856007249537,4.97056862574116
Yes,0,Graduate,No,5829,0.0,360.0,1.0,Rural,4.9344739331306915,4.8576795895532126
Yes,1,Graduate,Yes,8666,4983.0,360.0,0.0,Rural,5.932245187448011,5.571089193196288
Yes,2,Not Graduate,No,7667,0.0,360.0,nan,Rural,5.225746673713202,4.976399414915284
No,0,Graduate,Yes,11000,0.0,360.0,1.0,Urban,4.430816798843313,5.134057856501494
Yes,2,Not Graduate,No,2309,1255.0,360.0,0.0,Rural,4.836281906951478,4.744470743250318
Yes,2,Graduate,Yes,3316,3500.0,360.0,1.0,Urban,4.48863636973214,4.979198559765059
Yes,1,Graduate,,3717,2925.0,360.0,nan,Semiurban,5.0238805208462765,5.196232644581842
No,0,Graduate,No,1500,1800.0,360.0,0.0,Semiurban,4.6443908991413725,4.5466691336621095
No,1,Graduate,No,37719,0.0,360.0,1.0,Semiurban,5.030437921392435,5.644471587832126
Yes,0,Graduate,No,3625,0.0,360.0,1.0,Semiurban,4.6913478822291435,4.611680705441319
No,0,Not Graduate,No,4408,0.0,360.0,1.0,Semiurban,4.795790545596741,4.595940467758017
No,0,Graduate,No,4895,0.0,360.0,1.0,Semiurban,4.634728988229636,4.687682792862363
Yes,1,Graduate,No,2014,2925.0,360.0,1.0,Urban,4.736198448394496,4.739084784253057
Yes,0,Graduate,No,3167,2283.0,360.0,1.0,Semiurban,5.043425116919247,4.889943509798088
Yes,1,Graduate,Yes,7787,0.0,360.0,1.0,Urban,5.484796933490655,5.06637861704532
Yes,0,Graduate,No,3000,3416.0,180.0,1.0,Semiurban,4.04305126783455,4.7139154485421635
No,,Graduate,No,2987,0.0,360.0,0.0,Semiurban,4.48863636973214,4.588026786616802
Yes,2,Not Graduate,Yes,6383,1000.0,360.0,1.0,Rural,5.236441962829949,5.192741686974796
Yes,0,Graduate,No,16692,0.0,360.0,1.0,Semiurban,4.709530201312334,5.305621057209107
Yes,1,Graduate,No,2787,1917.0,360.0,0.0,Rural,4.990432586778736,4.950319715533474
Yes,0,Graduate,,3716,0.0,180.0,1.0,Rural,3.7612001156935624,4.610711289004279
No,0,Graduate,No,4547,0.0,360.0,1.0,Semiurban,4.7535901911063645,4.654172899148433
Yes,0,Graduate,No,3727,1775.0,360.0,1.0,Semiurban,4.882801922586371,4.952873578415632
Yes,0,Graduate,No,2132,1591.0,360.0,1.0,Semiurban,4.574710978503383,4.6943100284064645
Yes,0,Graduate,No,2058,2134.0,360.0,nan,Urban,4.48863636973214,4.7733588411809915
Yes,1,Graduate,No,33846,0.0,360.0,1.0,Semiurban,5.564520407322694,5.655707857285622
Yes,0,Graduate,No,3775,0.0,360.0,1.0,Semiurban,4.709530201312334,4.630103467407962
No,0,Graduate,No,4680,2087.0,360.0,1.0,Semiurban,4.709530201312334,5.002965205793748
Yes,3+,Not Graduate,No,2647,1587.0,360.0,1.0,Rural,5.159055299214529,4.865016573853131
No,0,Graduate,No,1916,5063.0,360.0,nan,Rural,4.219507705176107,4.733419796268119
Yes,0,Graduate,No,1977,997.0,360.0,1.0,Semiurban,3.9318256327243257,4.639513485606563
No,0,Graduate,,5050,0.0,360.0,1.0,Semiurban,4.77912349311153,4.828551425446394
Yes,0,Graduate,No,3033,1459.0,360.0,1.0,Urban,4.564348191467836,4.8657331814827
Yes,1,Not Graduate,No,1958,2436.0,360.0,1.0,Rural,4.882801922586371,4.689202968283642
Yes,0,Graduate,No,14583,0.0,360.0,1.0,Semiurban,6.07993319509559,5.244235796454522
No,0,Graduate,,12876,0.0,360.0,1.0,Semiurban,6.0063531596017325,5.253887660237256
Yes,0,Graduate,No,5568,2142.0,360.0,1.0,Rural,5.170483995038151,5.173697182964231
Yes,0,Not Graduate,No,7660,0.0,360.0,0.0,Urban,4.653960350157523,4.989726750260723
Yes,0,Not Graduate,,1820,1769.0,360.0,1.0,Rural,4.564348191467836,4.739836280086074
No,0,Not Graduate,No,2755,0.0,300.0,1.0,Rural,4.189654742026425,4.356190402356592
Yes,0,Graduate,No,5488,0.0,360.0,1.0,Rural,4.836281906951478,4.830287140581637
Yes,0,Not Graduate,No,4467,0.0,360.0,nan,Rural,4.795790545596741,4.759749762789185
Yes,1,Graduate,Yes,11500,0.0,360.0,0.0,Urban,5.659482215759621,5.3106850178047775
Yes,2,Graduate,No,2045,1619.0,360.0,1.0,Rural,4.624972813284271,4.677491191082545
Yes,1,Graduate,No,18333,0.0,360.0,1.0,Urban,6.2166061010848646,5.392148031592989
Yes,0,Graduate,Yes,5818,2160.0,360.0,1.0,Semiurban,5.220355825078324,5.227205920661929
No,0,Graduate,No,4191,0.0,360.0,1.0,Rural,4.795790545596741,4.647295843670586
Yes,0,Graduate,No,3416,2816.0,360.0,nan,Semiurban,4.736198448394496,5.000666402158286
Yes,1,Graduate,Yes,3450,2079.0,360.0,1.0,Semiurban,5.093750200806762,5.016900519967184
Yes,2,Graduate,No,16666,0.0,360.0,1.0,Urban,5.62040086571715,5.291170200773533
Yes,,Not Graduate,No,3074,1800.0,360.0,0.0,Semiurban,4.820281565605037,4.946619687515421
Yes,3+,Graduate,No,2666,2083.0,360.0,1.0,Rural,4.564348191467836,4.924328207657549
Yes,0,Graduate,No,4600,0.0,180.0,1.0,Semiurban,4.30406509320417,4.550808121733194
Yes,2,Graduate,No,4708,1387.0,360.0,1.0,Semiurban,5.017279836814924,5.019392038441556
No,0,Not Graduate,No,3691,0.0,360.0,1.0,Rural,4.709530201312334,4.545446147812852
No,0,Graduate,Yes,20166,0.0,480.0,nan,Urban,6.478509642208569,5.589367386485918
No,3+,Not Graduate,No,1830,0.0,360.0,0.0,Urban,4.709530201312334,4.365229892325919
Yes,3+,Graduate,Yes,5677,1424.0,360.0,1.0,Rural,4.61512051684126,5.314418660334745
No,0,Graduate,No,2435,0.0,360.0,1.0,Urban,4.330733340286331,4.3855059308116076
No,0,Graduate,No,3858,0.0,360.0,1.0,Semiurban,4.343805421853684,4.579509722852203
Yes,2,Graduate,No,5042,2083.0,360.0,1.0,Rural,5.225746673713202,5.098552850456682
No,1,Graduate,No,2600,0.0,360.0,1.0,Urban,5.081404364984463,4.444118998000214
Yes,2,Graduate,No,6700,1750.0,300.0,1.0,Semiurban,5.442417710521793,5.133561097247405
No,0,Graduate,No,9166,0.0,360.0,1.0,Urban,5.501258210544727,4.987818344521017
No,0,Graduate,No,5000,0.0,360.0,0.0,Semiurban,4.6443908991413725,4.764450766053365
Yes,2,Graduate,No,3200,700.0,360.0,1.0,Urban,4.2626798770413155,4.829038377576491
No,1,Graduate,No,2876,1560.0,360.0,1.0,Urban,4.51085950651685,4.812872897917651
Yes,0,Graduate,No,2484,2302.0,360.0,1.0,Semiurban,4.927253685157205,4.779944822152254
No,0,Graduate,No,10000,0.0,360.0,1.0,Semiurban,5.3706380281276624,5.0123088781058165
Yes,2,Not Graduate,No,3987,1411.0,360.0,1.0,Rural,5.062595033026967,4.930658267179659
Yes,1,Graduate,No,3417,1750.0,360.0,1.0,Urban,5.231108616854587,4.956704537084892
No,,Graduate,No,2833,0.0,360.0,1.0,Urban,4.276666119016055,4.511937515188821
No,0,Graduate,No,3750,0.0,480.0,1.0,Urban,4.736198448394496,4.69443028793841
Yes,1,Graduate,Yes,1000,3022.0,360.0,1.0,Urban,4.709530201312334,4.485899408555021
No,0,Graduate,No,7200,0.0,360.0,1.0,Rural,4.795790545596741,4.893193309585524
Yes,0,Graduate,No,4860,830.0,360.0,1.0,Semiurban,4.836281906951478,5.040128580956939
No,0,Graduate,No,5815,3666.0,360.0,1.0,Rural,5.7430031878094825,5.156535339444756
Yes,2,Graduate,No,3159,461.0,84.0,1.0,Urban,4.6913478822291435,4.545572911273728
Yes,0,Graduate,No,4333,2451.0,360.0,1.0,Urban,4.709530201312334,5.050576967954679
Yes,3+,Graduate,No,7740,0.0,180.0,1.0,Urban,4.859812404361672,4.888822717128386
Yes,1,Not Graduate,No,2661,7101.0,180.0,1.0,Semiurban,5.634789603169249,4.6762676273678
Yes,0,Graduate,No,19730,5266.0,360.0,1.0,Rural,6.3473892096560105,5.788105901050356
Yes,3+,Graduate,No,4342,189.0,360.0,1.0,Semiurban,4.8283137373023015,5.010594151759584
Yes,0,Graduate,Yes,2577,3750.0,360.0,1.0,Rural,5.030437921392435,4.911585732403118
No,0,Graduate,No,5000,0.0,360.0,1.0,Rural,4.890349128221754,4.727494898018035
No,0,Not Graduate,No,4885,0.0,360.0,1.0,Rural,3.8918202981106265,4.672796457235226
Yes,0,Graduate,No,6333,4583.0,360.0,nan,Semiurban,5.560681631015528,5.302545403982546
Yes,2,Graduate,Yes,6250,1300.0,360.0,1.0,Rural,4.6913478822291435,5.23881025869913
Yes,0,Graduate,No,2500,2118.0,360.0,1.0,Semiurban,4.653960350157523,4.779204916889218
No,0,Graduate,No,2667,1625.0,360.0,nan,Urban,4.442651256490317,4.818684968415366
Yes,0,Graduate,No,1025,2773.0,360.0,1.0,Rural,4.727387818712341,4.416241804358756
No,0,Graduate,No,4124,0.0,360.0,1.0,Semiurban,4.7535901911063645,4.609805003279876
Yes,0,Graduate,No,4583,0.0,360.0,1.0,Rural,4.727387818712341,4.748400040264801
Yes,2,Not Graduate,No,6125,1625.0,480.0,1.0,Semiurban,5.236441962829949,5.2145150487820855
Yes,3+,Graduate,No,39999,0.0,180.0,0.0,Semiurban,6.398594934535208,5.687291559327234
Yes,2,Graduate,No,8333,3167.0,360.0,1.0,Rural,5.111987788356544,5.345254307802587
No,0,Graduate,No,5941,4232.0,360.0,1.0,Semiurban,5.6937321388027,5.142411832057217
Yes,0,Not Graduate,No,4100,0.0,360.0,nan,Rural,4.8283137373023015,4.720795518966174
Yes,3+,Graduate,No,23803,0.0,360.0,1.0,Rural,5.916202062607435,5.583550456104306
Yes,0,Not Graduate,No,2600,1911.0,360.0,0.0,Semiurban,4.762173934797756,4.815507747513958
Yes,2,Graduate,No,2301,985.7999878,180.0,1.0,Urban,4.3694478524670215,4.525111626688762
Yes,1,Not Graduate,No,2653,1500.0,180.0,0.0,Rural,4.736198448394496,4.703935706166128
No,0,Graduate,No,5124,0.0,,0.0,Rural,4.8283137373023015,4.566446979370141
Yes,0,Graduate,Yes,9560,0.0,360.0,1.0,Semiurban,5.2574953720277815,5.115687424636592
No,0,Graduate,No,8333,3750.0,360.0,1.0,Rural,5.236441962829949,5.321023560779917
No,0,Graduate,No,4166,0.0,360.0,0.0,Semiurban,4.762173934797756,4.681533144455184
No,0,Graduate,No,4950,0.0,360.0,1.0,Urban,4.836281906951478,4.707843976116038
Yes,3+,Not Graduate,No,2947,1664.0,180.0,0.0,Urban,4.2626798770413155,4.798806574963159
Yes,1,Graduate,No,4666,0.0,360.0,1.0,Urban,4.912654885736052,4.7702980280473
Yes,1,Graduate,,5250,688.0,360.0,1.0,Rural,5.081404364984463,5.252672018533151
Yes,0,Graduate,No,2799,2253.0,360.0,1.0,Semiurban,4.812184355372417,4.833242111046831
Yes,0,Graduate,No,3941,2336.0,360.0,1.0,Semiurban,4.90527477843843,4.990296591202061
Yes,0,Graduate,No,4625,2857.0,12.0,nan,Urban,4.718498871295094,4.827124580998797
Yes,3+,Graduate,No,3466,3428.0,360.0,1.0,Rural,5.017279836814924,5.065425954298515
Yes,1,Graduate,No,4283,3000.0,84.0,1.0,Rural,5.153291594497779,4.838790529520259
Yes,1,Graduate,Yes,19484,0.0,360.0,1.0,Semiurban,6.398594934535208,5.468088351927134
No,0,Graduate,Yes,7085,0.0,360.0,1.0,Semiurban,4.442651256490317,4.919060023137474
Yes,0,Not Graduate,No,3010,3136.0,360.0,0.0,Urban,4.709530201312334,4.9188617338943095
Yes,2,Not Graduate,Yes,1875,1875.0,360.0,1.0,Semiurban,4.584967478670572,4.633568043113665
No,1,Graduate,,3652,0.0,360.0,1.0,Semiurban,4.564348191467836,4.710106535759227
Yes,0,Graduate,No,4301,0.0,360.0,1.0,Urban,4.77912349311153,4.704459590345586
No,0,Graduate,No,6500,0.0,360.0,0.0,Rural,4.663439094112067,4.913839542773472
No,0,Graduate,Yes,5166,0.0,360.0,1.0,Semiurban,4.859812404361672,4.775519416241032
No,0,Graduate,No,3418,0.0,360.0,1.0,Semiurban,4.852030263919617,4.524489331439444
Yes,2,Graduate,No,3717,0.0,360.0,1.0,Semiurban,4.795790545596741,4.594241777128839
Yes,0,Graduate,No,2130,6666.0,180.0,1.0,Semiurban,4.2626798770413155,4.587673066388323
Yes,2,Graduate,Yes,5746,0.0,84.0,nan,Rural,4.976733742420574,4.6935157339194475
No,0,Not Graduate,Yes,18165,0.0,360.0,1.0,Urban,4.836281906951478,5.317888482693483
Yes,1,Graduate,Yes,10000,0.0,360.0,1.0,Rural,5.049856007249537,5.19513077571241
Yes,3+,Graduate,No,3036,2504.0,360.0,0.0,Semiurban,5.0689042022202315,5.028409927321302
Yes,2,Not Graduate,No,1993,1625.0,180.0,1.0,Semiurban,4.736198448394496,4.422553639180379
No,0,Graduate,No,5417,0.0,360.0,1.0,Urban,5.1298987149230735,4.748810301706694
Yes,2,Not Graduate,No,3333,2000.0,360.0,nan,Semiurban,4.605170185988092,4.901518310469431
Yes,1,Graduate,Yes,16667,2250.0,360.0,1.0,Semiurban,4.465908118654584,5.73611112865917
Yes,1,Not Graduate,No,4050,5302.0,360.0,nan,Rural,4.9344739331306915,5.120671391938108
Yes,3+,Not Graduate,No,3850,983.0,360.0,1.0,Semiurban,4.61512051684126,4.984048877816967
Yes,2,Graduate,No,6540,0.0,360.0,1.0,Semiurban,5.327876168789581,4.8509843489228395
Yes,0,Graduate,No,5923,2054.0,360.0,1.0,Rural,5.356586274672012,5.199941510881524
No,0,Not Graduate,No,3902,1666.0,360.0,1.0,Rural,4.700480365792417,4.896508338372927
No,0,Not Graduate,No,2699,2785.0,360.0,nan,Semiurban,4.574710978503383,4.788542392350653
No,0,Not Graduate,Yes,2583,2167.0,360.0,1.0,Rural,4.653960350157523,4.783965903767593
Yes,2,Not Graduate,,210,2917.0,360.0,1.0,Semiurban,4.59511985013459,3.723244275597011
Yes,1,Graduate,No,3875,0.0,360.0,1.0,Urban,4.219507705176107,4.6858936679831515
No,0,Graduate,Yes,16250,0.0,360.0,0.0,Urban,5.262690188904886,5.378508951464267
Yes,0,Graduate,No,3993,3274.0,360.0,1.0,Semiurban,5.337538079701318,5.011072115239669
Yes,1,Graduate,No,3750,0.0,360.0,1.0,Semiurban,4.762173934797756,4.655910896383895
Yes,0,Graduate,No,3927,800.0,360.0,1.0,Semiurban,4.727387818712341,4.94165602909753
No,3+,Graduate,No,9167,0.0,360.0,1.0,Rural,5.225746673713202,5.089431485005253
Yes,0,Graduate,Yes,2479,3013.0,360.0,1.0,Urban,5.241747015059643,4.869280978618341
Yes,1,Graduate,No,1880,0.0,360.0,nan,Rural,4.127134385045092,4.439506354549169
Yes,0,Graduate,No,6080,2569.0,360.0,nan,Rural,5.209486152841421,5.2887746412431005
Yes,2,Graduate,No,11757,0.0,180.0,1.0,Urban,5.236441962829949,4.963494371326329
No,0,Graduate,No,3500,0.0,300.0,1.0,Semiurban,4.406719247264253,4.478892240718576
Yes,1,Graduate,No,5500,1260.0,360.0,1.0,Rural,5.14166355650266,5.173651293532453
Yes,0,Graduate,No,3667,1459.0,360.0,1.0,Semiurban,4.976733742420574,4.936895009002724
